Code, PQ0-3 , PQ0-2 , PQ0-1 , PQ0 , PQ1 , PQ2 , PQ3 , PQ4 , PQ5 , PQ6 , PQ7 , PQ8 , PQ9 , PQ10 , PQ11 , PQ12 
VTJ41001,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35
VTJ41002A,0.023,0.023,0.023,0.023,0.022,0.022,0.022,0.022,0.022,0.022,0.022,0.022,0.022,0.022,0.022,0.022
VTJ41002B,0.023,0.023,0.023,0.023,0.022,0.022,0.022,0.022,0.022,0.022,0.022,0.022,0.022,0.022,0.022,0.022
VTJ41002C,0.023,0.023,0.023,0.023,0.022,0.022,0.022,0.022,0.022,0.022,0.022,0.022,0.022,0.022,0.022,0.022
VTJ41002D,0.023,0.023,0.023,0.023,0.022,0.022,0.022,0.022,0.022,0.022,0.022,0.022,0.022,0.022,0.022,0.022
VTJ41002E,0.023,0.023,0.023,0.023,0.022,0.022,0.022,0.022,0.022,0.022,0.022,0.022,0.022,0.022,0.022,0.022
VTJ41002F,0.023,0.023,0.023,0.023,0.022,0.022,0.022,0.022,0.022,0.022,0.022,0.022,0.022,0.022,0.022,0.022
VTJ41002G,0.023,0.023,0.023,0.023,0.022,0.022,0.022,0.022,0.022,0.022,0.022,0.022,0.022,0.022,0.022,0.022
VTJ41002H,0.023,0.023,0.023,0.023,0.022,0.022,0.022,0.022,0.022,0.022,0.022,0.022,0.022,0.022,0.022,0.022
VTJ41002I,0.023,0.023,0.023,0.023,0.022,0.022,0.022,0.022,0.022,0.022,0.022,0.022,0.022,0.022,0.022,0.022
VTJ41002J,0.023,0.023,0.023,0.023,0.022,0.022,0.022,0.022,0.022,0.022,0.022,0.022,0.022,0.022,0.022,0.022
VTJ41002K,0.023,0.023,0.023,0.023,0.022,0.022,0.022,0.022,0.022,0.022,0.022,0.022,0.022,0.022,0.022,0.022
VTJ41003A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
VTJ41003B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
VTJ41003C,-250,-250,-250,-250,-250,-250,-250,-250,-250,-250,-250,-250,-250,-250,-250,-250
VTJ41003D,-300,-300,-300,-300,-300,-300,-300,-300,-300,-300,-300,-300,-300,-300,-300,-300
VTJ41003E,-350,-350,-350,-350,-350,-350,-350,-350,-350,-350,-350,-350,-350,-350,-350,-350
VTJ41003F,-400,-400,-400,-400,-400,-400,-400,-400,-400,-400,-400,-400,-400,-400,-400,-400
VTJ41003G,-450,-450,-450,-450,-450,-450,-450,-450,-450,-450,-450,-450,-450,-450,-450,-450
VTJ41003H,-500,-500,-500,-500,-500,-500,-500,-500,-500,-500,-500,-500,-500,-500,-500,-500
VTJ41003I,-550,-550,-550,-550,-550,-550,-550,-550,-550,-550,-550,-550,-550,-550,-550,-550
VTJ41003J,-600,-600,-600,-600,-600,-600,-600,-600,-600,-600,-600,-600,-600,-600,-600,-600
VTJ41003K,-650,-650,-650,-650,-650,-650,-650,-650,-650,-650,-650,-650,-650,-650,-650,-650
VTJ41004A,155,155,155,155,99,99,99,99,101,101,101,101,101,101,101,101
VTJ41004B,155,155,155,155,99,99,99,99,101,101,101,101,101,101,101,101
VTJ41004C,155,155,155,155,99,99,99,99,101,101,101,101,101,101,101,101
VTJ41004D,175.004,175.004,175.004,175.004,119.004,119.004,119.004,119.004,121.004,121.004,121.004,121.004,121.004,121.004,121.004,121.004
VTJ41004E,195.004,195.004,195.004,195.004,139.004,139.004,139.004,139.004,141.004,141.004,141.004,141.004,141.004,141.004,141.004,141.004
VTJ41004F,215.004,215.004,215.004,215.004,159.004,159.004,159.004,159.004,161.004,161.004,161.004,161.004,161.004,161.004,161.004,161.004
VTJ41004G,235.004,235.004,235.004,235.004,179.004,179.004,179.004,179.004,181.004,181.004,181.004,181.004,181.004,181.004,181.004,181.004
VTJ41004H,255.004,255.004,255.004,255.004,199.004,199.004,199.004,199.004,201.004,201.004,201.004,201.004,201.004,201.004,201.004,201.004
VTJ41004I,275.004,275.004,275.004,275.004,219.004,219.004,219.004,219.004,221.004,221.004,221.004,221.004,221.004,221.004,221.004,221.004
VTJ41004J,295.004,295.004,295.004,295.004,239.004,239.004,239.004,239.004,241.004,241.004,241.004,241.004,241.004,241.004,241.004,241.004
VTJ41004K,315.004,315.004,315.004,315.004,259.004,259.004,259.004,259.004,261.004,261.004,261.004,261.004,261.004,261.004,261.004,261.004
VTJ41005A,-40,-40,-40,-40,-40,-40,-40,-40,-40,-40,-40,-40,-40,-40,-40,-40
VTJ41005B,-40,-40,-40,-40,-40,-40,-40,-40,-40,-40,-40,-40,-40,-40,-40,-40
VTJ41005C,-40,-40,-40,-40,-40,-40,-40,-40,-40,-40,-40,-40,-40,-40,-40,-40
VTJ41005D,-40,-40,-40,-40,-40,-40,-40,-40,-40,-40,-40,-40,-40,-40,-40,-40
VTJ41005E,-40,-40,-40,-40,-40,-40,-40,-40,-40,-40,-40,-40,-40,-40,-40,-40
VTJ41005F,-40,-40,-40,-40,-40,-40,-40,-40,-40,-40,-40,-40,-40,-40,-40,-40
VTJ41005G,-40,-40,-40,-40,-40,-40,-40,-40,-40,-40,-40,-40,-40,-40,-40,-40
VTJ41005H,-40,-40,-40,-40,-40,-40,-40,-40,-40,-40,-40,-40,-40,-40,-40,-40
VTJ41005I,-40,-40,-40,-40,-40,-40,-40,-40,-40,-40,-40,-40,-40,-40,-40,-40
VTJ41005J,-40,-40,-40,-40,-40,-40,-40,-40,-40,-40,-40,-40,-40,-40,-40,-40
VTJ41005K,-40,-40,-40,-40,-40,-40,-40,-40,-40,-40,-40,-40,-40,-40,-40,-40
VTJ41006A,-734.732,-734.732,-734.732,-734.732,-836.6984,-836.6984,-836.6984,-836.6984,-888.0888,-888.0888,-888.0888,-888.0888,-888.0888,-888.0888,-888.0888,-888.0888
VTJ41006B,-734.732,-734.732,-734.732,-734.732,-836.6984,-836.6984,-836.6984,-836.6984,-888.0888,-888.0888,-888.0888,-888.0888,-888.0888,-888.0888,-888.0888,-888.0888
VTJ41006C,-734.732,-734.732,-734.732,-734.732,-836.6984,-836.6984,-836.6984,-836.6984,-888.0888,-888.0888,-888.0888,-888.0888,-888.0888,-888.0888,-888.0888,-888.0888
VTJ41006D,-734.732,-734.732,-734.732,-734.732,-836.6984,-836.6984,-836.6984,-836.6984,-888.0888,-888.0888,-888.0888,-888.0888,-888.0888,-888.0888,-888.0888,-888.0888
VTJ41006E,-734.732,-734.732,-734.732,-734.732,-836.6984,-836.6984,-836.6984,-836.6984,-888.0888,-888.0888,-888.0888,-888.0888,-888.0888,-888.0888,-888.0888,-888.0888
VTJ41006F,-734.732,-734.732,-734.732,-734.732,-836.6984,-836.6984,-836.6984,-836.6984,-888.0888,-888.0888,-888.0888,-888.0888,-888.0888,-888.0888,-888.0888,-888.0888
VTJ41006G,-734.732,-734.732,-734.732,-734.732,-836.6984,-836.6984,-836.6984,-836.6984,-888.0888,-888.0888,-888.0888,-888.0888,-888.0888,-888.0888,-888.0888,-888.0888
