Code,Formula,Period,Entity,Option
SACI4310,SACI4310,PQ0-3,,
SACI4310,SACI4310,PQ0-2,,
SACI4310,SACI4310,PQ0-1,,
SACI4310,SACI4310,PQ0,,
VAJ41188,,PQ0,,
VAJ41086,,PQ0,,
VAJ41092,,PQ0,,
VAJ41093,,PQ0,,
VAJ41095,,PQ0,,
VAJ41096,,PQ0,,
VAJ41097,,PQ0,,
VAJ41018,VAJ41018,PQ0,,
VAJ22012,VAJ23001+VAJ22010+VAJ23003+VAJ23002,PQ0,,
VAJ41189,,PQ0,,
VAJ41099,,PQ0,,
VAJ41098,VAJ41099+VAJ41018,PQ0,,
VAJ41102,,PQ0,,
VAJ41019,VAJ41019,PQ0,,
VAJ41101,VAJ41102+VAJ41019,PQ0,,
VAJ41020,VAJ41020,PQ0,,
VAJ41021,VAJ41021,PQ0,,
VAJ41022,VAJ41022,PQ0,,
VAJ41104,VAJ41020+VAJ41021+VAJ41022,PQ0,,
VAJ41183,VAJ41098+VAJ41101+VAJ41104,PQ0,,
VAJ41023,VAJ41023,PQ0,,
VAJ41106,,PQ0,,
VAJ41107,,PQ0,,
VAJ41024,,PQ0,,
VAJ41109,,PQ0,,
VAJ41110,VAJ41023,PQ0,,
VAJ41025,VAJ41025,PQ0,,
VAJ41111,,PQ0,,
VAJ41112,,PQ0,,
VAJ41026,,PQ0,,
VAJ41113,,PQ0,,
VAJ41114,VAJ41025,PQ0,,
VAJ41027,VAJ41027,PQ0,,
VAJ41028,VAJ41028,PQ0,,
VAJ41029,VAJ41029,PQ0,,
VAJ41115,VAJ41027+VAJ41028+VAJ41029,PQ0,,
VAJ41105,VAJ41110+VAJ41114+VAJ41115,PQ0,,
VAJ41030,VAJ41030,PQ0,,
VAJ41031,,PQ0,,
VAJ41117,,PQ0,,
VAJ41032,VAJ41032,PQ0,,
VAJ41033,,PQ0,,
VAJ41118,VAJ41032+VAJ41033,PQ0,,
VAJ41034,VAJ41034,PQ0,,
VAJ41035,VAJ41035,PQ0,,
VAJ41036,VAJ41036,PQ0,,
VAJ41119,VAJ41034+VAJ41035+VAJ41036,PQ0,,
VAJ41116,VAJ41117+VAJ41118+VAJ41119,PQ0,,
VAJ41037,VAJ41037,PQ0,,
VAJ41038,,PQ0,,
VAJ41121,VAJ41037+VAJ41038,PQ0,,
VAJ41039,VAJ41039,PQ0,,
VAJ41040,,PQ0,,
VAJ41122,VAJ41039+VAJ41040,PQ0,,
VAJ41041,VAJ41041,PQ0,,
VAJ41042,VAJ41042,PQ0,,
VAJ41043,VAJ41043,PQ0,,
VAJ41123,VAJ41041+VAJ41042+VAJ41043,PQ0,,
VAJ41120,VAJ41121+VAJ41122+VAJ41123,PQ0,,
VAJ41125,VAJ41110+VAJ41117+VAJ41121,PQ0,,
VAJ41126,VAJ41114+VAJ41118+VAJ41122,PQ0,,
VAJ41127,VAJ41027+VAJ41034+VAJ41041,PQ0,,
VAJ41128,VAJ41028+VAJ41035+VAJ41042,PQ0,,
VAJ41129,VAJ41029+VAJ41036+VAJ41043,PQ0,,
VAJ41124,VAJ41125+VAJ41126+VAJ41127+VAJ41128+VAJ41129,PQ0,,
VAJ41044,VAJ41044,PQ0,,
VAJ41045,,PQ0,,
VAJ41131,,PQ0,,
VAJ41046,VAJ41046,PQ0,,
VAJ41047,,PQ0,,
VAJ41132,VAJ41046+VAJ41047,PQ0,,
VAJ41048,VAJ41048,PQ0,,
VAJ41049,VAJ41049,PQ0,,
VAJ41050,VAJ41050,PQ0,,
VAJ41133,VAJ41048+VAJ41049+VAJ41050,PQ0,,
VAJ41130,VAJ41131+VAJ41132+VAJ41133,PQ0,,
VAJ41051,VAJ41051,PQ0,,
VAJ41052,,PQ0,,
VAJ41135,VAJ41051+VAJ41052,PQ0,,
VAJ41053,VAJ41053,PQ0,,
VAJ41054,,PQ0,,
VAJ41136,VAJ41053+VAJ41054,PQ0,,
VAJ41055,VAJ41055,PQ0,,
VAJ41056,VAJ41056,PQ0,,
VAJ41057,VAJ41057,PQ0,,
VAJ41137,VAJ41055+VAJ41056+VAJ41057,PQ0,,
VAJ41134,VAJ41135+VAJ41136+VAJ41137,PQ0,,
VAJ41058,VAJ41058,PQ0,,
VAJ41059,,PQ0,,
VAJ41139,VAJ41058+VAJ41059,PQ0,,
VAJ41060,VAJ41060,PQ0,,
VAJ41061,,PQ0,,
VAJ41140,VAJ41060+VAJ41061,PQ0,,
VAJ41062,VAJ41062,PQ0,,
VAJ41063,VAJ41063,PQ0,,
VAJ41064,VAJ41064,PQ0,,
VAJ41141,VAJ41062+VAJ41063+VAJ41064,PQ0,,
VAJ41138,VAJ41139+VAJ41140+VAJ41141,PQ0,,
VAJ41143,VAJ41131+VAJ41135+VAJ41139,PQ0,,
VAJ41144,VAJ41132+VAJ41136+VAJ41140,PQ0,,
VAJ41145,VAJ41048+VAJ41055+VAJ41062,PQ0,,
VAJ41146,VAJ41049+VAJ41056+VAJ41063,PQ0,,
VAJ41147,VAJ41050+VAJ41057+VAJ41064,PQ0,,
VAJ41142,VAJ41143+VAJ41144+VAJ41145+VAJ41146+VAJ41147,PQ0,,
VAJ41065,VAJ41065,PQ0,,
VAJ41066,VAJ41066,PQ0,,
VAJ41184,VAJ41065+VAJ41066,PQ0,,
VAJ41067,VAJ41067,PQ0,,
VAJ41068,VAJ41068,PQ0,,
VAJ41185,VAJ41067+VAJ41068,PQ0,,
VAJ41069,VAJ41069,PQ0,,
VAJ41070,VAJ41070,PQ0,,
VAJ41186,VAJ41069+VAJ41070,PQ0,,
VAJ73002,VAJ73002,PQ0,,
VAJ73003,VAJ73003,PQ0,,
VAJ73001,VAJ73002+VAJ73003,PQ0,,
VAJ41156,VAJ41065+VAJ40167+VAJ41069+VAJ73002,PQ0,,
VAJ41157,VAJ41066+VAJ40168+VAJ41070+VAJ73003,PQ0,,
VAJ41155,VAJ41156+VAJ41157,PQ0,,
VAJ41149,VAJ41098+VAJ41106+VAJ41107+VAJ41024+VAJ41109-VAJ41125-VAJ41143+VAJ41031+VAJ41038+VAJ41045+VAJ41052+VAJ41059,PQ0,,
VAJ41150,VAJ41101-VAJ41126-VAJ41144+VAJ41111+VAJ41112+VAJ41026+VAJ41113+VAJ41033+VAJ41040+VAJ41047+VAJ41054+VAJ41061,PQ0,,
VAJ41151,VAJ41020-VAJ41127-VAJ41145,PQ0,,
VAJ41152,VAJ41021-VAJ41128-VAJ41146,PQ0,,
VAJ41153,VAJ41022-VAJ41129-VAJ41147,PQ0,,
VAJ41154,VAJ41151+VAJ41152+VAJ41153,PQ0,,
VAJ41148,VAJ41149+VAJ41150+VAJ41151+VAJ41152+VAJ41153,PQ0,,
VAJ41159,VAJ41149-VAJ41156,PQ0,,
VAJ41160,VAJ41150-VAJ41157,PQ0,,
VAJ41161,VAJ41154,PQ0,,
VAJ41158,VAJ41159+VAJ41160+VAJ41161,PQ0,,
VAJ41071,VAJ41071,PQ0,,
VAJ41072,VAJ41072,PQ0,,
VAJ41073,VAJ41073,PQ0,,
VAJ41162,VAJ1071+VAJ1072+VAJ1073,PQ0,,
VAJ41074,VAJ41074,PQ0,,
VAJ41075,VAJ41075,PQ0,,
VAJ41076,VAJ41076,PQ0,,
VAJ41163,VAJ1074+VAJ1075+VAJ1076,PQ0,,
VAJ41077,VAJ41077,PQ0,,
VAJ41078,VAJ41078,PQ0,,
VAJ41079,VAJ41079,PQ0,,
VAJ41168,VAJ41077+VAJ41078+VAJ41079,PQ0,,
VAJ41080,VAJ41080,PQ0,,
VAJ41081,VAJ41081,PQ0,,
VAJ41082,VAJ41082,PQ0,,
VAJ41169,VAJ41080+VAJ41081+VAJ41082,PQ0,,
VAJ41083,VAJ41083,PQ0,,
VAJ41084,VAJ41084,PQ0,,
VAJ41085,VAJ41085,PQ0,,
VAJ41170,VAJ41083+VAJ41084+VAJ41085,PQ0,,
VAJ41192,VAJ41192,PQ0,,
VAJ41193,VAJ41193,PQ0,,
VAJ41194,VAJ41194,PQ0,,
VAJ41171,VAJ41192+VAJ41193+VAJ41194,PQ0,,
SACDQ292,VAJ41071+VAJ41074+VAJ41077+VAJ41080+VAJ41083+VAJ41192,PQ0,,
SACDQ293,VAJ41072+VAJ41075+VAJ41078+VAJ41081+VAJ41084+VAJ41193,PQ0,,
SACDQ294,VAJ41073+VAJ41076+VAJ41179+VAJ41082+VAJ41085+VAJ41194,PQ0,,
VAJ41177,VAJ41159-VAJ41162,PQ0,,
VAJ41178,VAJ41160-VAJ41163,PQ0,,
VAJ41179,VAJ41151-VAJ41168,PQ0,,
VAJ41180,VAJ41152-VAJ41169,PQ0,,
VAJ41181,VAJ41153-VAJ41170,PQ0,,
VAJ41182,VAJ41179+VAJ41180+VAJ41181,PQ0,,
VAJ41176,VAJ41177+VAJ41178+VAJ41179+VAJ41180+VAJ41181,PQ0,,
VAJ41175,"IF(VAJ41177<0,VAJ41177,0)+IF(VAJ41178<0,VAJ41178,0)+IF(VAJ41179<0,VAJ41179,0)+IF(VAJ41180<0,VAJ41180,0)+IF(VAJ41181<0,VAJ41181,0)",PQ0,,
VAJ41187,"IF(VAJ41177>=0,VAJ41177,0)+IF(VAJ41178>=0,VAJ41178,0)+IF(VAJ41179>=0,VAJ41179,0)+IF(VAJ41180>=0,VAJ41180,0)+IF(VAJ41181>=0,VAJ41181,0)",PQ0,,
YZSI4310,YZSI4310,PQ1,,
VPJ41188,YZSI4310(PQ1)+YZSI4310(PQ2)+YZSI4310(PQ3)+YZSI4310(PQ4),PQ1,,
VPJ41086,VPJ41188,PQ1,,
VTJ41003,"VTJ41003' +IF(VPJ41086 <= -5000, 'A' , if(VPJ41086 > -5000 && VPJ41086 <= 0, 'B', if (VPJ41086 > 0 && VPJ41086 <= 5000, 'C', If (VPJ41086 > 5000 && VPJ41086 <= 10000, 'D', if (VPJ41086 > 10000 && VPJ41086 <= 15000, 'E', if(VPJ41086 > 15000 && VPJ41086 <= 20000, 'F', if(VPJ41086 > 20000 && VPJ41086 <= 25000, 'G', if(VPJ41086 > 25000 && VPJ41086 <= 30000, 'H', if(VPJ41086 > 30000 && VPJ41086 <= 35000, 'I', if (VPJ41086 > 35000 && VPJ41086 <= 40000, 'J', if (VPJ41086 > 40000 && VPJ41086 <= 50000, 'K', 'Z')))))))))))",PQ1,,
VTJ41004,"VTJ41004' +IF(VPJ41086 <= -5000, 'A' , if(VPJ41086 > -5000 && VPJ41086 <= 0, 'B', if (VPJ41086 > 0 && VPJ41086 <= 5000, 'C', If (VPJ41086 > 5000 && VPJ41086 <= 10000, 'D', if (VPJ41086 > 10000 && VPJ41086 <= 15000, 'E', if(VPJ41086 > 15000 && VPJ41086 <= 20000, 'F', if(VPJ41086 > 20000 && VPJ41086 <= 25000, 'G', if(VPJ41086 > 25000 && VPJ41086 <= 30000, 'H', if(VPJ41086 > 30000 && VPJ41086 <= 35000, 'I', if (VPJ41086 > 35000 && VPJ41086 <= 40000, 'J', if (VPJ41086 > 40000 && VPJ41086 <= 50000, 'K', 'Z')))))))))))",PQ1,,
