"","Code","Formula","Period","Cvalue"
"1","SACI4310","SACI4310","PQ0-3",NA
"2","SACI4310","SACI4310","PQ0-2",NA
"3","SACI4310","SACI4310","PQ0-1",NA
"4","SACI4310","SACI4310","PQ0",NA
"5","VAJ41188","","PQ0",NA
"6","VAJ41086","","PQ0",NA
"7","VAJ41092","","PQ0",NA
"8","VAJ41093","","PQ0",NA
"9","VAJ41095","","PQ0",NA
"10","VAJ41096","","PQ0",NA
"11","VAJ41097","","PQ0",NA
"12","VAJ41018","VAJ41018","PQ0",NA
"13","VAJ22012","VAJ23001+VAJ22010+VAJ23003+VAJ23002","PQ0",NA
"14","VAJ41189","","PQ0",NA
"15","VAJ41099","","PQ0",NA
"16","VAJ41098","VAJ41099+VAJ41018","PQ0",NA
"17","VAJ41102","","PQ0",NA
"18","VAJ41019","VAJ41019","PQ0",NA
"19","VAJ41101","VAJ41102+VAJ41019","PQ0",NA
"20","VAJ41020","VAJ41020","PQ0",NA
"21","VAJ41021","VAJ41021","PQ0",NA
"22","VAJ41022","VAJ41022","PQ0",NA
"23","VAJ41104","VAJ41020+VAJ41021+VAJ41022","PQ0",NA
"24","VAJ41183","VAJ41098+VAJ41101+VAJ41104","PQ0",NA
"25","VAJ41023","VAJ41023","PQ0",NA
"26","VAJ41106","","PQ0",NA
"27","VAJ41107","","PQ0",NA
"28","VAJ41024","","PQ0",NA
"29","VAJ41109","","PQ0",NA
"30","VAJ41110","VAJ41023","PQ0",NA
"31","VAJ41025","VAJ41025","PQ0",NA
"32","VAJ41111","","PQ0",NA
"33","VAJ41112","","PQ0",NA
"34","VAJ41026","","PQ0",NA
"35","VAJ41113","","PQ0",NA
"36","VAJ41114","VAJ41025","PQ0",NA
"37","VAJ41027","VAJ41027","PQ0",NA
"38","VAJ41028","VAJ41028","PQ0",NA
"39","VAJ41029","VAJ41029","PQ0",NA
"40","VAJ41115","VAJ41027+VAJ41028+VAJ41029","PQ0",NA
"41","VAJ41105","VAJ41110+VAJ41114+VAJ41115","PQ0",NA
"42","VAJ41030","VAJ41030","PQ0",NA
"43","VAJ41031","","PQ0",NA
"44","VAJ41117","","PQ0",NA
"45","VAJ41032","VAJ41032","PQ0",NA
"46","VAJ41033","","PQ0",NA
"47","VAJ41118","VAJ41032+VAJ41033","PQ0",NA
"48","VAJ41034","VAJ41034","PQ0",NA
"49","VAJ41035","VAJ41035","PQ0",NA
"50","VAJ41036","VAJ41036","PQ0",NA
"51","VAJ41119","VAJ41034+VAJ41035+VAJ41036","PQ0",NA
"52","VAJ41116","VAJ41117+VAJ41118+VAJ41119","PQ0",NA
"53","VAJ41037","VAJ41037","PQ0",NA
"54","VAJ41038","","PQ0",NA
"55","VAJ41121","VAJ41037+VAJ41038","PQ0",NA
"56","VAJ41039","VAJ41039","PQ0",NA
"57","VAJ41040","","PQ0",NA
"58","VAJ41122","VAJ41039+VAJ41040","PQ0",NA
"59","VAJ41041","VAJ41041","PQ0",NA
"60","VAJ41042","VAJ41042","PQ0",NA
"61","VAJ41043","VAJ41043","PQ0",NA
"62","VAJ41123","VAJ41041+VAJ41042+VAJ41043","PQ0",NA
"63","VAJ41120","VAJ41121+VAJ41122+VAJ41123","PQ0",NA
"64","VAJ41125","VAJ41110+VAJ41117+VAJ41121","PQ0",NA
"65","VAJ41126","VAJ41114+VAJ41118+VAJ41122","PQ0",NA
"66","VAJ41127","VAJ41027+VAJ41034+VAJ41041","PQ0",NA
"67","VAJ41128","VAJ41028+VAJ41035+VAJ41042","PQ0",NA
"68","VAJ41129","VAJ41029+VAJ41036+VAJ41043","PQ0",NA
"69","VAJ41124","VAJ41125+VAJ41126+VAJ41127+VAJ41128+VAJ41129","PQ0",NA
"70","VAJ41044","VAJ41044","PQ0",NA
"71","VAJ41045","","PQ0",NA
"72","VAJ41131","","PQ0",NA
"73","VAJ41046","VAJ41046","PQ0",NA
"74","VAJ41047","","PQ0",NA
"75","VAJ41132","VAJ41046+VAJ41047","PQ0",NA
"76","VAJ41048","VAJ41048","PQ0",NA
"77","VAJ41049","VAJ41049","PQ0",NA
"78","VAJ41050","VAJ41050","PQ0",NA
"79","VAJ41133","VAJ41048+VAJ41049+VAJ41050","PQ0",NA
"80","VAJ41130","VAJ41131+VAJ41132+VAJ41133","PQ0",NA
"81","VAJ41051","VAJ41051","PQ0",NA
"82","VAJ41052","","PQ0",NA
"83","VAJ41135","VAJ41051+VAJ41052","PQ0",NA
"84","VAJ41053","VAJ41053","PQ0",NA
"85","VAJ41054","","PQ0",NA
"86","VAJ41136","VAJ41053+VAJ41054","PQ0",NA
"87","VAJ41055","VAJ41055","PQ0",NA
"88","VAJ41056","VAJ41056","PQ0",NA
"89","VAJ41057","VAJ41057","PQ0",NA
"90","VAJ41137","VAJ41055+VAJ41056+VAJ41057","PQ0",NA
"91","VAJ41134","VAJ41135+VAJ41136+VAJ41137","PQ0",NA
"92","VAJ41058","VAJ41058","PQ0",NA
"93","VAJ41059","","PQ0",NA
"94","VAJ41139","VAJ41058+VAJ41059","PQ0",NA
"95","VAJ41060","VAJ41060","PQ0",NA
"96","VAJ41061","","PQ0",NA
"97","VAJ41140","VAJ41060+VAJ41061","PQ0",NA
"98","VAJ41062","VAJ41062","PQ0",NA
"99","VAJ41063","VAJ41063","PQ0",NA
"100","VAJ41064","VAJ41064","PQ0",NA
"101","VAJ41141","VAJ41062+VAJ41063+VAJ41064","PQ0",NA
"102","VAJ41138","VAJ41139+VAJ41140+VAJ41141","PQ0",NA
"103","VAJ41143","VAJ41131+VAJ41135+VAJ41139","PQ0",NA
"104","VAJ41144","VAJ41132+VAJ41136+VAJ41140","PQ0",NA
"105","VAJ41145","VAJ41048+VAJ41055+VAJ41062","PQ0",NA
"106","VAJ41146","VAJ41049+VAJ41056+VAJ41063","PQ0",NA
"107","VAJ41147","VAJ41050+VAJ41057+VAJ41064","PQ0",NA
"108","VAJ41142","VAJ41143+VAJ41144+VAJ41145+VAJ41146+VAJ41147","PQ0",NA
"109","VAJ41065","VAJ41065","PQ0",NA
"110","VAJ41066","VAJ41066","PQ0",NA
"111","VAJ41184","VAJ41065+VAJ41066","PQ0",NA
"112","VAJ41067","VAJ41067","PQ0",NA
"113","VAJ41068","VAJ41068","PQ0",NA
"114","VAJ41185","VAJ41067+VAJ41068","PQ0",NA
"115","VAJ41069","VAJ41069","PQ0",NA
